,X.1,X,importance,BWrank,lmc,lmc1,lmc10,equal,LG,LG1,LG10
1,1,FoodProvision,1.04666844,1.294614457,1.45751811,1.308701987,1.078601837,1,1.436468916,1.308692414,1.078597582
2,2,AboriginalNeeds,0.747296883,0.289239882,0,0.325268268,0.828199507,1,0.045992025,0.325278357,0.828206048
3,3,NaturalProducts,0.843568114,0.43676648,0.222926013,0.475683523,0.866498306,1,0.258659149,0.475687069,0.866502295
4,4,CarbonStorage,1.017174225,0.964132938,0.952273362,0.967797323,0.99180054,1,0.954472494,0.967800695,0.991801588
5,5,CoastalProtection,1.066877806,1.244378633,1.337337619,1.227612396,1.057954769,1,1.321810798,1.227600519,1.057950405
6,6,CoastalLivelihoods,1.011548313,1.1779094,1.190996134,1.128871152,1.03281323,1,1.182225002,1.128878538,1.032814352
7,7,TourismRecreation,0.946898657,0.570582428,0.407462161,0.600195918,0.898201707,1,0.43471662,0.600203624,0.898206023
8,8,IconicPlacesSPecies,1.078351677,1.062739936,1.050148558,1.033836823,1.008615547,1,1.047836305,1.033832202,1.008614171
9,9,CleanWaters,1.154166693,1.798727652,2.147123558,1.774000665,1.197076393,1,2.094384834,1.774003103,1.197072457
10,10,Biodiversity,1.087449193,1.160908193,1.234214485,1.158031945,1.040238164,1,1.223433857,1.158023479,1.040235078
